Year,State Name,Area_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day,Yield_kg_per_ha,Crop_cotton,Crop_maize,Crop_rice
1966,Chhattisgarh,548000.0,8.43975,4.05108,7.42698,25,80,6.5,1200,2.0,18,337.59,False,False,True
1966,Chhattisgarh,3000.0,18.00009,8.00004,11.33339,22,70,6.0,800,2.5,20,666.67,False,True,False
1966,Chhattisgarh,54000.0,9.0,5.0,9.0,20,60,6.5,600,1.5,16,500.0,False,False,False
1967,Chhattisgarh,547000.0,18.69275,8.97252,16.44962,25,80,6.5,1200,2.0,18,747.71,False,False,True
1967,Chhattisgarh,3000.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
1967,Chhattisgarh,52000.0,5.19228,2.8846,5.19228,20,60,6.5,600,1.5,16,288.46,False,False,False
1968,Chhattisgarh,556300.0,21.03175,10.09524,18.50794,25,80,6.5,1200,2.0,18,841.27,False,False,True
1968,Chhattisgarh,2800.0,19.28583,8.57148,12.14293,22,70,6.0,800,2.5,20,714.29,False,True,False
1968,Chhattisgarh,51300.0,8.07012,4.4834,8.07012,20,60,6.5,600,1.5,16,448.34,False,False,False
1969,Chhattisgarh,563400.0,17.785,8.5368,15.6508,25,80,6.5,1200,2.0,18,711.4,False,False,True
1969,Chhattisgarh,2700.0,22.99995,10.2222,14.48145,22,70,6.0,800,2.5,20,851.85,False,True,False
1969,Chhattisgarh,52600.0,7.904880000000001,4.3916,7.904880000000001,20,60,6.5,600,1.5,16,439.16,False,False,False
1970,Chhattisgarh,571600.0,20.71375,9.9426,18.2281,25,80,6.5,1200,2.0,18,828.55,False,False,True
1970,Chhattisgarh,2500.0,35.64,15.84,22.44,22,70,6.0,800,2.5,20,1320.0,False,True,False
1970,Chhattisgarh,53300.0,11.00934,6.1163,11.00934,20,60,6.5,600,1.5,16,611.63,False,False,False
1971,Chhattisgarh,581800.0,17.742250000000002,8.51628,15.613180000000002,25,80,6.5,1200,2.0,18,709.69,False,False,True
1971,Chhattisgarh,2700.0,31.00005,13.7778,19.51855,22,70,6.0,800,2.5,20,1148.15,False,True,False
1971,Chhattisgarh,50300.0,11.73762,6.520900000000001,11.73762,20,60,6.5,600,1.5,16,652.09,False,False,False
1972,Chhattisgarh,582200.0,16.360249999999997,7.852919999999999,14.397019999999998,25,80,6.5,1200,2.0,18,654.41,False,False,True
1972,Chhattisgarh,2800.0,30.85722,13.71432,19.42862,22,70,6.0,800,2.5,20,1142.86,False,True,False
1972,Chhattisgarh,52300.0,11.21994,6.233300000000001,11.21994,20,60,6.5,600,1.5,16,623.33,False,False,False
1973,Chhattisgarh,600000.0,19.6625,9.438,17.303,25,80,6.5,1200,2.0,18,786.5,False,False,True
1973,Chhattisgarh,2900.0,25.13781,11.17236,15.82751,22,70,6.0,800,2.5,20,931.03,False,True,False
1973,Chhattisgarh,56400.0,10.34046,5.7447,10.34046,20,60,6.5,600,1.5,16,574.47,False,False,False
1974,Chhattisgarh,587400.0,9.32075,4.47396,8.202259999999999,25,80,6.5,1200,2.0,18,372.83,False,False,True
1974,Chhattisgarh,2900.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
1974,Chhattisgarh,54900.0,13.44258,7.4681,13.44258,20,60,6.5,600,1.5,16,746.81,False,False,False
1975,Chhattisgarh,598300.0,18.9705,9.10584,16.69404,25,80,6.5,1200,2.0,18,758.82,False,False,True
1975,Chhattisgarh,2900.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
1975,Chhattisgarh,58300.0,9.32418,5.1801,9.32418,20,60,6.5,600,1.5,16,518.01,False,False,False
1976,Chhattisgarh,593600.0,13.776,6.61248,12.12288,25,80,6.5,1200,2.0,18,551.04,False,False,True
1976,Chhattisgarh,3000.0,18.00009,8.00004,11.33339,22,70,6.0,800,2.5,20,666.67,False,True,False
1976,Chhattisgarh,52500.0,4.594320000000001,2.5524000000000004,4.594320000000001,20,60,6.5,600,1.5,16,255.24,False,False,False
1977,Chhattisgarh,600700.0,23.82225,11.43468,20.96358,25,80,6.5,1200,2.0,18,952.89,False,False,True
1977,Chhattisgarh,3400.0,22.23531,9.88236,14.00001,22,70,6.0,800,2.5,20,823.53,False,True,False
1977,Chhattisgarh,56300.0,5.65902,3.1439,5.65902,20,60,6.5,600,1.5,16,314.39,False,False,False
1978,Chhattisgarh,612500.0,14.78375,7.0962000000000005,13.0097,25,80,6.5,1200,2.0,18,591.35,False,False,True
1978,Chhattisgarh,3400.0,23.02938,10.23528,14.49998,22,70,6.0,800,2.5,20,852.94,False,True,False
1978,Chhattisgarh,52100.0,5.8734,3.2630000000000003,5.8734,20,60,6.5,600,1.5,16,326.3,False,False,False
1979,Chhattisgarh,616800.0,13.39975,6.43188,11.79178,25,80,6.5,1200,2.0,18,535.99,False,False,True
1979,Chhattisgarh,3000.0,32.4,14.4,20.4,22,70,6.0,800,2.5,20,1200.0,False,True,False
1979,Chhattisgarh,65300.0,4.32774,2.4043,4.32774,20,60,6.5,600,1.5,16,240.43,False,False,False
1980,Chhattisgarh,634900.0,20.3025,9.7452,17.8662,25,80,6.5,1200,2.0,18,812.1,False,False,True
1980,Chhattisgarh,3000.0,25.19991,11.19996,15.86661,22,70,6.0,800,2.5,20,933.33,False,True,False
1980,Chhattisgarh,54200.0,5.9778,3.321,5.9778,20,60,6.5,600,1.5,16,332.1,False,False,False
1981,Chhattisgarh,630000.0,20.115,9.6552,17.7012,25,80,6.5,1200,2.0,18,804.6,False,False,True
1981,Chhattisgarh,3000.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
1981,Chhattisgarh,60900.0,6.827579999999999,3.7931,6.827579999999999,20,60,6.5,600,1.5,16,379.31,False,False,False
1982,Chhattisgarh,627900.0,20.43725,9.80988,17.98478,25,80,6.5,1200,2.0,18,817.49,False,False,True
1982,Chhattisgarh,3000.0,27.899909999999995,12.399959999999998,17.566609999999997,22,70,6.0,800,2.5,20,1033.33,False,True,False
1982,Chhattisgarh,71700.0,7.004160000000001,3.8912,7.004160000000001,20,60,6.5,600,1.5,16,389.12,False,False,False
1983,Chhattisgarh,626700.0,28.36275,13.61412,24.95922,25,80,6.5,1200,2.0,18,1134.51,False,False,True
1983,Chhattisgarh,3000.0,33.299910000000004,14.79996,20.96661,22,70,6.0,800,2.5,20,1233.33,False,True,False
1983,Chhattisgarh,67700.0,6.56712,3.6484,6.56712,20,60,6.5,600,1.5,16,364.84,False,False,False
1984,Chhattisgarh,632200.0,22.29525,10.70172,19.61982,25,80,6.5,1200,2.0,18,891.81,False,False,True
1984,Chhattisgarh,3600.0,30.75003000000001,13.666680000000005,19.361130000000003,22,70,6.0,800,2.5,20,1138.89,False,True,False
1984,Chhattisgarh,82800.0,8.69562,4.8309,8.69562,20,60,6.5,600,1.5,16,483.09,False,False,False
1985,Chhattisgarh,630800.0,27.7345,13.31256,24.40636,25,80,6.5,1200,2.0,18,1109.38,False,False,True
1985,Chhattisgarh,3800.0,21.31569,9.47364,13.42099,22,70,6.0,800,2.5,20,789.47,False,True,False
1985,Chhattisgarh,87900.0,7.8021,4.3345,7.8021,20,60,6.5,600,1.5,16,433.45,False,False,False
1986,Chhattisgarh,643000.0,20.41225,9.79788,17.962780000000002,25,80,6.5,1200,2.0,18,816.49,False,False,True
1986,Chhattisgarh,4000.0,20.25,9.0,12.75,22,70,6.0,800,2.5,20,750.0,False,True,False
1986,Chhattisgarh,98000.0,10.101960000000002,5.6122000000000005,10.101960000000002,20,60,6.5,600,1.5,16,561.22,False,False,False
1987,Chhattisgarh,648000.0,20.1775,9.6852,17.7562,25,80,6.5,1200,2.0,18,807.1,False,False,True
1987,Chhattisgarh,4000.0,20.25,9.0,12.75,22,70,6.0,800,2.5,20,750.0,False,True,False
1987,Chhattisgarh,113500.0,8.26254,4.5903,8.26254,20,60,6.5,600,1.5,16,459.03,False,False,False
1988,Chhattisgarh,652700.0,21.05475,10.106280000000002,18.528180000000003,25,80,6.5,1200,2.0,18,842.19,False,False,True
1988,Chhattisgarh,3800.0,28.42101000000001,12.631560000000002,17.894710000000003,22,70,6.0,800,2.5,20,1052.63,False,True,False
1988,Chhattisgarh,118400.0,8.665560000000001,4.8142000000000005,8.665560000000001,20,60,6.5,600,1.5,16,481.42,False,False,False
1989,Chhattisgarh,660200.0,17.31675,8.31204,15.23874,25,80,6.5,1200,2.0,18,692.67,False,False,True
1989,Chhattisgarh,3700.0,35.0271,15.5676,22.0541,22,70,6.0,800,2.5,20,1297.3,False,True,False
1989,Chhattisgarh,119600.0,9.1053,5.0585,9.1053,20,60,6.5,600,1.5,16,505.85,False,False,False
1990,Chhattisgarh,682900.0,29.53575,14.17716,25.99146,25,80,6.5,1200,2.0,18,1181.43,False,False,True
1990,Chhattisgarh,4000.0,25.65,11.4,16.15,22,70,6.0,800,2.5,20,950.0,False,True,False
1990,Chhattisgarh,126200.0,9.21402,5.1189,9.21402,20,60,6.5,600,1.5,16,511.89,False,False,False
1991,Chhattisgarh,680800.0,28.40775,13.63572,24.99882,25,80,6.5,1200,2.0,18,1136.31,False,False,True
1991,Chhattisgarh,3800.0,24.86835,11.052599999999998,15.657849999999998,22,70,6.0,800,2.5,20,921.05,False,True,False
1991,Chhattisgarh,117200.0,11.6262,6.4590000000000005,11.6262,20,60,6.5,600,1.5,16,645.9,False,False,False
1992,Chhattisgarh,688000.0,28.245,13.5576,24.8556,25,80,6.5,1200,2.0,18,1129.8,False,False,True
1992,Chhattisgarh,4400.0,36.81828,16.363680000000002,23.181880000000003,22,70,6.0,800,2.5,20,1363.64,False,True,False
1992,Chhattisgarh,112600.0,10.13508,5.630599999999999,10.13508,20,60,6.5,600,1.5,16,563.06,False,False,False
1993,Chhattisgarh,703600.0,31.1505,14.95224,27.41244,25,80,6.5,1200,2.0,18,1246.02,False,False,True
1993,Chhattisgarh,3800.0,29.84202,13.26312,18.78942,22,70,6.0,800,2.5,20,1105.26,False,True,False
1993,Chhattisgarh,110600.0,11.31102,6.2839,11.31102,20,60,6.5,600,1.5,16,628.39,False,False,False
1994,Chhattisgarh,726800.0,33.29325,15.98076,29.298060000000003,25,80,6.5,1200,2.0,18,1331.73,False,False,True
1994,Chhattisgarh,4800.0,24.18741,10.74996,15.22911,22,70,6.0,800,2.5,20,895.83,False,True,False
1994,Chhattisgarh,124700.0,11.764260000000002,6.535700000000001,11.764260000000002,20,60,6.5,600,1.5,16,653.57,False,False,False
1995,Chhattisgarh,723300.0,36.361,17.45328,31.99768,25,80,6.5,1200,2.0,18,1454.44,False,False,True
1995,Chhattisgarh,4200.0,35.99991,15.999959999999998,22.66661,22,70,6.0,800,2.5,20,1333.33,False,True,False
1995,Chhattisgarh,124000.0,8.8983,4.9435,8.8983,20,60,6.5,600,1.5,16,494.35,False,False,False
1996,Chhattisgarh,710900.0,32.255,15.4824,28.3844,25,80,6.5,1200,2.0,18,1290.2,False,False,True
1996,Chhattisgarh,3200.0,34.59375,15.375,21.78125,22,70,6.0,800,2.5,20,1281.25,False,True,False
1996,Chhattisgarh,117700.0,11.9439,6.6355,11.9439,20,60,6.5,600,1.5,16,663.55,False,False,False
1997,Chhattisgarh,735700.0,28.45925,13.660439999999998,25.04414,25,80,6.5,1200,2.0,18,1138.37,False,False,True
1997,Chhattisgarh,3500.0,24.68583,10.97148,15.542929999999998,22,70,6.0,800,2.5,20,914.29,False,True,False
1997,Chhattisgarh,111000.0,7.913519999999999,4.3964,7.913519999999999,20,60,6.5,600,1.5,16,439.64,False,False,False
1998,Chhattisgarh,786510.0,21.76125,10.4454,19.1499,25,80,6.5,1200,2.0,18,870.45,False,False,True
1998,Chhattisgarh,5610.0,27.34155,12.1518,17.21505,22,70,6.0,800,2.5,20,1012.65,False,True,False
1998,Chhattisgarh,144250.0,10.6389,5.9105,10.6389,20,60,6.5,600,1.5,16,591.05,False,False,False
1999,Chhattisgarh,769790.0,31.276,15.01248,27.52288,25,80,6.5,1200,2.0,18,1251.04,False,False,True
1999,Chhattisgarh,3810.0,35.30088000000001,15.689280000000002,22.22648,22,70,6.0,800,2.5,20,1307.44,False,True,False
1999,Chhattisgarh,118670.0,12.058920000000002,6.699400000000001,12.058920000000002,20,60,6.5,600,1.5,16,669.94,False,False,False
2000,Chhattisgarh,748760.0,15.62225,7.498679999999999,13.74758,25,80,6.5,1200,2.0,18,624.89,False,False,True
2000,Chhattisgarh,3940.0,21.39804,9.51024,13.47284,22,70,6.0,800,2.5,20,792.52,False,True,False
2000,Chhattisgarh,98520.0,9.12312,5.0684,9.12312,20,60,6.5,600,1.5,16,506.84,False,False,False
2001,Chhattisgarh,756260.0,32.35325,15.52956,28.47086,25,80,6.5,1200,2.0,18,1294.13,False,False,True
2001,Chhattisgarh,3900.0,18.149670000000004,8.06652,11.42757,22,70,6.0,800,2.5,20,672.21,False,True,False
2001,Chhattisgarh,117530.0,13.24656,7.359199999999999,13.24656,20,60,6.5,600,1.5,16,735.92,False,False,False
2002,Chhattisgarh,753410.0,16.09,7.7232,14.159200000000002,25,80,6.5,1200,2.0,18,643.6,False,False,True
2002,Chhattisgarh,3710.0,34.6761,15.4116,21.8331,22,70,6.0,800,2.5,20,1284.3,False,True,False
2002,Chhattisgarh,122650.0,11.48364,6.3798,11.48364,20,60,6.5,600,1.5,16,637.98,False,False,False
2002,Chhattisgarh,20.0,13.5,6.0,13.5,28,65,6.0,700,3.0,22,500.0,True,False,False
2003,Chhattisgarh,766580.0,37.36825,17.93676,32.884060000000005,25,80,6.5,1200,2.0,18,1494.73,False,False,True
2003,Chhattisgarh,3400.0,26.55423,11.80188,16.71933,22,70,6.0,800,2.5,20,983.49,False,True,False
2003,Chhattisgarh,138930.0,17.66628,9.8146,17.66628,20,60,6.5,600,1.5,16,981.46,False,False,False
2003,Chhattisgarh,70.0,19.28583,8.57148,19.28583,28,65,6.0,700,3.0,22,714.29,True,False,False
2004,Chhattisgarh,775990.0,31.711500000000004,15.221520000000002,27.90612,25,80,6.5,1200,2.0,18,1268.46,False,False,True
2004,Chhattisgarh,3260.0,32.02308,14.23248,20.16268,22,70,6.0,800,2.5,20,1186.04,False,True,False
2004,Chhattisgarh,163220.0,9.01818,5.0101,9.01818,20,60,6.5,600,1.5,16,501.01,False,False,False
2004,Chhattisgarh,410.0,13.829400000000003,6.146400000000002,13.829400000000003,28,65,6.0,700,3.0,22,512.2,True,False,False
2005,Chhattisgarh,775990.0,31.711500000000004,15.221520000000002,27.90612,25,80,6.5,1200,2.0,18,1268.46,False,False,True
2005,Chhattisgarh,3260.0,32.02308,14.23248,20.16268,22,70,6.0,800,2.5,20,1186.04,False,True,False
2005,Chhattisgarh,163220.0,9.01818,5.0101,9.01818,20,60,6.5,600,1.5,16,501.01,False,False,False
2006,Chhattisgarh,781700.0,37.64525,18.06972,33.12782,25,80,6.5,1200,2.0,18,1505.81,False,False,True
2006,Chhattisgarh,5280.0,25.73478,11.43768,16.20338,22,70,6.0,800,2.5,20,953.14,False,True,False
2006,Chhattisgarh,170600.0,13.02732,7.237400000000001,13.02732,20,60,6.5,600,1.5,16,723.74,False,False,False
2006,Chhattisgarh,190.0,7.10532,3.15792,7.10532,28,65,6.0,700,3.0,22,263.16,True,False,False
2007,Chhattisgarh,799890.0,34.2495,16.43976,30.13956,25,80,6.5,1200,2.0,18,1369.98,False,False,True
2007,Chhattisgarh,3300.0,31.24521,13.88676,19.67291,22,70,6.0,800,2.5,20,1157.23,False,True,False
2007,Chhattisgarh,143200.0,16.3764,9.098,16.3764,20,60,6.5,600,1.5,16,909.8,False,False,False
2007,Chhattisgarh,40.0,6.75,3.0,6.75,28,65,6.0,700,3.0,22,250.0,True,False,False
2008,Chhattisgarh,803370.0,21.9105,10.51704,19.28124,25,80,6.5,1200,2.0,18,876.42,False,False,True
2008,Chhattisgarh,3400.0,26.59284,11.81904,16.74364,22,70,6.0,800,2.5,20,984.92,False,True,False
2008,Chhattisgarh,131940.0,15.42078,8.5671,15.42078,20,60,6.5,600,1.5,16,856.71,False,False,False
