State,Crop,Year,Season,Latitude,Longitude,Start_Date,End_Date,Image_Count,Satellite_Source,Cloud_Score_Threshold,Buffer_Degree,RGB_Image,NDVI_Image,BLUE_max,BLUE_mean,BLUE_min,BLUE_stdDev,EVI_max,EVI_mean,EVI_min,EVI_stdDev,GREEN_max,GREEN_mean,GREEN_min,GREEN_stdDev,NDVI_max,NDVI_mean,NDVI_min,NDVI_stdDev,NDWI_max,NDWI_mean,NDWI_min,NDWI_stdDev,NIR_max,NIR_mean,NIR_min,NIR_stdDev,RED_max,RED_mean,RED_min,RED_stdDev
Andhra Pradesh,Maize,1997,Kharif,15.9240905,80.1863809,1997-07-01,1997-10-28,6,Landsat 5/7 SR,0.6,0.05,datasets\test_images\1997\rgb\andhra_pradesh_1997_maize_rgb.png,datasets\test_images\1997\ndvi\andhra_pradesh_1997_maize_ndvi.png,0.140505,0.069766,0.033805,0.008555,0.711315,0.125884,-0.096871,0.047928,0.182277,0.092297,0.04871,0.010731,0.782144,0.226536,-0.20898,0.06511,0.19521,-0.3178,-0.755999,0.059764,0.466325,0.1836,0.071604,0.033294,0.215772,0.110767,0.042852,0.014573
Andhra Pradesh,Maize,1997,Rabi,15.9240905,80.1863809,1997-11-01,1998-04-28,2,Landsat 5/7 SR,0.6,0.05,datasets\test_images\1997\rgb\andhra_pradesh_1997_maize_rgb.png,datasets\test_images\1997\ndvi\andhra_pradesh_1997_maize_ndvi.png,1.602213,0.137865,0.043513,0.081692,1.162916,0.536599,-0.082888,0.198125,0.597803,0.155633,0.05146,0.082139,0.852456,0.501314,-0.124006,0.172417,0.211948,-0.441784,-0.749424,0.144566,0.81981,0.395616,0.076898,0.128345,0.590542,0.135944,0.03133,0.086078
Andhra Pradesh,Maize,2000,Kharif,15.9240905,80.1863809,2000-07-01,2000-10-28,2,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2000\rgb\andhra_pradesh_2000_maize_rgb.png,datasets\test_images\2000\ndvi\andhra_pradesh_2000_maize_ndvi.png,0.228615,0.060069,0.030505,0.008041,0.761741,0.191422,-0.045341,0.099048,0.250285,0.080071,0.04365,0.011693,0.838286,0.33379,-0.109375,0.117857,0.141453,-0.388574,-0.782646,0.088799,0.48068,0.190513,0.067383,0.057181,0.27091,0.090385,0.03859,0.013825
Andhra Pradesh,Maize,2000,Rabi,15.9240905,80.1863809,2000-11-01,2001-04-28,9,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2000\rgb\andhra_pradesh_2000_maize_rgb.png,datasets\test_images\2000\ndvi\andhra_pradesh_2000_maize_ndvi.png,0.112139,0.057276,0.035098,0.007796,0.661006,0.271989,-0.053508,0.097972,0.15871,0.081872,0.048022,0.010555,0.797999,0.42879,-0.158287,0.123279,0.193413,-0.465646,-0.733181,0.0867,0.423851,0.246443,0.058995,0.041152,0.201445,0.090326,0.041862,0.017927
Andhra Pradesh,Maize,2003,Kharif,15.9240905,80.1863809,2003-07-01,2003-10-28,2,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2003\rgb\andhra_pradesh_2003_maize_rgb.png,datasets\test_images\2003\ndvi\andhra_pradesh_2003_maize_ndvi.png,0.244098,0.061778,0.020138,0.011576,0.840009,0.357116,-0.006317,0.124872,0.281938,0.085615,0.04244,0.01356,0.905064,0.516963,-0.008878,0.128983,0.018338,-0.507691,-0.822438,0.094796,0.543187,0.271769,0.078107,0.06088,0.283587,0.083546,0.023822,0.020189
Andhra Pradesh,Maize,2003,Rabi,15.9240905,80.1863809,2003-11-01,2004-04-28,28,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2003\rgb\andhra_pradesh_2003_maize_rgb.png,datasets\test_images\2003\ndvi\andhra_pradesh_2003_maize_ndvi.png,0.12692,0.064986,0.036115,0.009244,0.700894,0.233886,-0.028653,0.091841,0.172639,0.088058,0.04684,0.013006,0.821029,0.377227,-0.075602,0.123647,0.114117,-0.439114,-0.766375,0.092366,0.424938,0.231366,0.065458,0.033803,0.207371,0.101387,0.04013,0.021147
Andhra Pradesh,Maize,2004,Kharif,15.9240905,80.1863809,2004-07-01,2004-10-28,12,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2004\rgb\andhra_pradesh_2004_maize_rgb.png,datasets\test_images\2004\ndvi\andhra_pradesh_2004_maize_ndvi.png,0.836118,0.071263,0.035015,0.014105,0.83399,0.212454,-0.044596,0.102373,0.291233,0.091199,0.047555,0.013686,0.839098,0.338385,-0.102056,0.12493,0.104751,-0.362851,-0.771951,0.096857,0.52314,0.208389,0.068593,0.050127,0.300706,0.09762,0.038975,0.018585
Andhra Pradesh,Maize,2004,Rabi,15.9240905,80.1863809,2004-11-01,2005-04-28,33,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2004\rgb\andhra_pradesh_2004_maize_rgb.png,datasets\test_images\2004\ndvi\andhra_pradesh_2004_maize_ndvi.png,0.118312,0.063151,0.03991,0.008093,0.676789,0.28155,-0.021827,0.096103,0.161845,0.084979,0.048902,0.011202,0.80105,0.439261,-0.04932,0.116178,0.083072,-0.462234,-0.749669,0.086387,0.428348,0.246298,0.078437,0.037643,0.196523,0.089098,0.038453,0.017542
Andhra Pradesh,Maize,2005,Kharif,15.9240905,80.1863809,2005-07-01,2005-10-28,5,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2005\rgb\andhra_pradesh_2005_maize_rgb.png,datasets\test_images\2005\ndvi\andhra_pradesh_2005_maize_ndvi.png,0.208499,0.078807,0.03859,0.010533,0.609171,0.117658,-0.067989,0.059163,0.249845,0.108338,0.057317,0.013226,0.707723,0.199697,-0.109871,0.078814,0.116169,-0.265425,-0.664811,0.067744,0.424924,0.189861,0.089272,0.037173,0.264104,0.123865,0.048132,0.016779
Andhra Pradesh,Maize,2005,Rabi,15.9240905,80.1863809,2005-11-01,2006-04-28,24,Landsat 5/7 SR,0.6,0.05,datasets\test_images\2005\rgb\andhra_pradesh_2005_maize_rgb.png,datasets\test_images\2005\ndvi\andhra_pradesh_2005_maize_ndvi.png,0.137219,0.057008,0.034781,0.007325,0.691704,0.290664,-0.070528,0.099155,0.180407,0.081697,0.047308,0.010305,0.821358,0.452214,-0.207228,0.126959,0.250481,-0.475243,-0.7762,0.091788,0.446938,0.248613,0.056685,0.037363,0.200647,0.087537,0.038068,0.018863
