Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Fertilizer_per_Area,Pesticide_per_Area,Production_per_Area,Yield
Rice,1997,Kharif,Andhra Pradesh,2382500.0,5218300,927.5,226742525.0,738575.0,95.17,0.31,2.1902623294858343,1.99173913
Rice,1997,Rabi,Andhra Pradesh,1117700.0,3291700,927.5,106371509.0,346487.0,95.17,0.31,2.9450657600429455,2.64
Rice,1997,Kharif,Arunachal Pradesh,120020.0,129505,2274.9,11422303.4,37206.2,95.17,0.31,1.0790284952507916,1.06
Rice,1997,Autumn,Assam,607358.0,398311,2051.4,57802260.86,188280.98,95.17,0.31,0.6558092591190039,0.780869565
Rice,1997,Summer,Assam,174974.0,209623,2051.4,16652275.58,54241.94,95.17,0.31,1.1980237063792334,1.060434783
Rice,1997,Winter,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,95.17000001720854,0.31,0.9449183483707246,0.941304348
Rice,1997,Autumn,Bihar,749671.0,892725,1303.7,71346189.07,232398.01,95.16999999999999,0.31,1.1908223740814303,1.102244898
Rice,1997,Summer,Bihar,124429.0,236446,1303.7,11841907.93,38572.99,95.17,0.31,1.9002483343915004,1.683265306
Rice,1997,Winter,Bihar,4238204.0,6004120,1303.7,403349874.7,1313843.24,95.17000000471897,0.31,1.4166661161189975,1.354363636
Rice,1997,Kharif,Goa,15169.0,40864,3680.3,1443633.73,4702.39,95.17,0.31,2.6939152218340037,2.69
Rice,1997,Rabi,Goa,6417.0,19052,3680.3,610705.89,1989.27,95.17,0.31,2.968988623967586,2.97
Rice,1997,Whole Year,Gujarat,672600.0,1042300,798.9,64011342.0,208506.0,95.17,0.31,1.549658043413619,1.665
Rice,1997,Kharif,Haryana,913000.0,2556000,661.2,86890210.0,283030.0,95.17,0.31,2.799561883899233,2.730588235
Rice,1997,Kharif,Jammu and Kashmir,275746.0,5488,1356.2,26242746.82,85481.26,95.17,0.31,0.019902373923828452,0.016666667
Rice,1997,Kharif,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,95.16999999999999,0.31,2.2689529146025804,2.2335
Rice,1997,Rabi,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,95.17,0.31,2.0291710738740747,2.073846154
Rice,1997,Summer,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,95.17,0.31,2.8456484756234053,2.829444444
Rice,1997,Kharif,Maharashtra,1339000.0,2330000,1156.1,127432630.0,415090.0,95.17,0.31,1.7401045556385362,8.778275862
Rice,1997,Summer,Maharashtra,329.0,646,1156.1,31310.93,101.99,95.17,0.31,1.9635258358662615,2.018888889
Rice,1997,Kharif,Manipur,155.0,348,2053.3,14751.35,48.05,95.17,0.31,2.2451612903225806,2.075555556
Rice,1997,Kharif,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,95.17,0.31,1.4272225919939145,1.378571429
Rice,1997,Whole Year,Mizoram,68114.0,110573,2644.2,6482409.38,21115.34,95.17,0.31,1.6233520274833368,1.6
Rice,1997,Kharif,Nagaland,145000.0,188000,1398.5,13799650.0,44950.0,95.17,0.31,1.296551724137931,1.29
Rice,1997,Rabi,Nagaland,200.0,250,1398.5,19034.0,62.0,95.17,0.31,1.25,1.3
Rice,1997,Kharif,Punjab,2281000.0,7904000,690.1,217082770.0,707110.0,95.17,0.31,3.465146865409908,3.476470588
Rice,1997,Kharif,Sikkim,15691.0,21447,2804.1,1493312.47,4864.21,95.17,0.31,1.3668344911095534,1.365
Rice,1997,Kharif,Uttar Pradesh,5726527.0,12262794,473.9,544993574.6,1775223.37,95.17000000174626,0.31,2.1414015859874582,2.037
Rice,1997,Summer,Uttar Pradesh,6607.0,18281,473.9,628788.19,2048.17,95.16999999999999,0.31,2.76691387921901,2.202903226
Rice,1997,Autumn,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,95.17,0.31,1.7771984845942415,1.837222222
Rice,1997,Summer,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,95.16999997514147,0.31,2.957767836205461,2.843888889
Rice,1997,Winter,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,95.17000000936696,0.31,2.087685067751236,1.985555556
Rice,1998,Kharif,Andhra Pradesh,2812400.0,7005800,1048.3,277865120.0,815596.0,98.8,0.29,2.4910396814108946,2.47
Rice,1998,Rabi,Andhra Pradesh,1504200.0,4872200,1048.3,148614960.0,436218.0,98.8,0.29,3.2390639542614013,2.986086957
Rice,1998,Kharif,Arunachal Pradesh,115481.0,114116,3616.7,11409522.8,33489.49,98.80000000000001,0.29,0.9881798737454647,0.965384615
Rice,1998,Autumn,Assam,594979.0,520605,2354.4,58783925.2,172543.91,98.80000000000001,0.29,0.8749972688111681,1.055652174
Rice,1998,Summer,Assam,223913.0,446114,2354.4,22122604.4,64934.77,98.8,0.29,1.992354173272655,1.685217391
Rice,1998,Winter,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,98.8,0.29,1.3992612659992785,1.395652174
Rice,1998,Summer,Bihar,132836.0,270992,1332.5,13124196.8,38522.44,98.80000000000001,0.29000000000000004,2.0400493842030776,1.765777778
Rice,1998,Winter,Bihar,4234443.0,5722449,1332.5,418362968.4,1227988.47,98.8,0.29,1.351405367837045,1.242909091
Rice,1998,Kharif,Delhi,7303.0,10799,784.5,721536.4,2117.87,98.8,0.29,1.47870738052855,1.48
Rice,1998,Kharif,Goa,41000.0,104249,2964.9,4050800.0,11890.0,98.8,0.29,2.542658536585366,2.54
Rice,1998,Rabi,Goa,15439.0,46925,2964.9,1525373.2,4477.31,98.8,0.29000000000000004,3.039380788911199,3.04
Rice,1998,Kharif,Gujarat,622100.0,1015900,775.6,61463480.0,180409.0,98.8,0.29,1.633017199807105,1.695384615
Rice,1998,Kharif,Haryana,1086694.0,2432000,687.6,107365367.2,315141.26,98.8,0.29000000000000004,2.237980517054479,2.286666667
Rice,1998,Kharif,Himachal Pradesh,82125.0,116997,1381.6,8113950.0,23816.25,98.8,0.29,1.42462100456621,1.455454545
Rice,1998,Kharif,Karnataka,1079193.0,2599170,1260.8,106624268.4,312965.97,98.80000000000001,0.29,2.408438527677626,2.310740741
Rice,1998,Rabi,Karnataka,51782.0,106072,1260.8,5116061.6,15016.78,98.8,0.29000000000000004,2.0484338187014792,2.054285714
Rice,1998,Summer,Karnataka,295830.0,951569,1260.8,29228004.0,85790.7,98.8,0.29,3.2166075110705474,2.99375
Rice,1998,Autumn,Kerala,120217.0,235849,3151.5,11877439.6,34862.93,98.8,0.29,1.9618606353510735,1.856923077
Rice,1998,Summer,Kerala,57700.0,144872,3151.5,5700760.0,16733.0,98.8,0.29,2.5107798960138648,2.116153846
Rice,1998,Winter,Kerala,174714.0,346022,3151.5,17261743.2,50667.06,98.8,0.29,1.9805052829195142,1.937142857
Rice,1998,Kharif,Madhya Pradesh,5438800.0,3346300,962.7,537353440.0,1577252.0,98.8,0.29,0.6152643965580643,0.586785714
Rice,1998,Kharif,Maharashtra,1445700.0,2395100,1314.8,142835160.0,419253.0,98.8,0.29,1.6567060939337346,1.267241379
Rice,1998,Summer,Maharashtra,37400.0,72500,1314.8,3695120.0,10846.0,98.8,0.29,1.9385026737967914,2.053333333
Rice,1998,Autumn,Manipur,88370.0,200290,1855.0,8730956.0,25627.3,98.8,0.29,2.266493153785221,2.094444444
Rice,1998,Winter,Manipur,78520.0,181900,1855.0,7757776.0,22770.8,98.8,0.29,2.316607233825777,2.2175
Rice,1998,Kharif,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,98.8,0.29000000000000004,1.420675129504184,1.51
Rice,1998,Kharif,Mizoram,62372.0,95115,2640.7,6162353.6,18087.88,98.8,0.29000000000000004,1.5249631244789328,1.5225
Rice,1998,Rabi,Mizoram,6020.0,15698,2640.7,594776.0,1745.8,98.8,0.29,2.6076411960132893,4.39
Rice,1998,Kharif,Nagaland,141000.0,205000,1498.0,13930800.0,40890.0,98.8,0.29,1.4539007092198581,1.441428571
Rice,1998,Autumn,Odisha,819731.0,501365,1357.1,80989422.8,237721.99,98.8,0.29,0.6116213733529657,0.837666667
Rice,1998,Summer,Odisha,268081.0,506455,1357.1,26486402.8,77743.49,98.8,0.29000000000000004,1.8891864772214368,1.582666667
