State,Crop,Year,Season,Latitude,Longitude,Start_Date,End_Date,Image_Count,Cloud_Score_Threshold,Buffer_Degree,RGB_Image,NDVI_Image,EVI_max,EVI_mean,EVI_min,EVI_stdDev,NDRE_max,NDRE_mean,NDRE_min,NDRE_stdDev,NDVI_max,NDVI_mean,NDVI_min,NDVI_stdDev,NDWI_max,NDWI_mean,NDWI_min,NDWI_stdDev,NIR_max,NIR_mean,NIR_min,NIR_stdDev,RED_EDGE_max,RED_EDGE_mean,RED_EDGE_min,RED_EDGE_stdDev
Andhra Pradesh,Rice,2020,Kharif,15.9240905,80.1863809,2020-07-01,2020-10-28,30,0.6,0.05,datasets\test_images\rgb\andhra_pradesh_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\andhra_pradesh_2020_rice_sentinel2_ndvi.png,0.832067,0.153668,-0.224618,0.114212,0.659885,0.147139,-0.402126,0.100052,0.895385,0.257103,-0.309588,0.142915,0.439519,-0.307672,-0.788925,0.102074,0.5454,0.182411,0.0336,0.055071,0.50625,0.129799,0.0483,0.02024
Arunachal Pradesh,Rice,2020,Kharif,28.0937702,94.5921326,2020-07-01,2020-10-28,7,0.6,0.05,datasets\test_images\rgb\arunachal_pradesh_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\arunachal_pradesh_2020_rice_sentinel2_ndvi.png,2.087146,0.602962,-0.04314,0.11515,0.770695,0.595087,-0.154443,0.067563,0.932099,0.844897,-0.123713,0.074191,0.138483,-0.736995,-0.855842,0.059805,0.9815,0.346567,0.0441,0.073768,0.4764,0.088356,0.0095,0.023103
Assam,Rice,2020,Kharif,26.4073841,93.2551303,2020-07-01,2020-10-28,8,0.6,0.05,datasets\test_images\rgb\assam_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\assam_2020_rice_sentinel2_ndvi.png,1.106809,0.646718,0.12476,0.096392,0.738508,0.621398,0.123895,0.045269,0.928829,0.84782,0.316936,0.042979,-0.240565,-0.728355,-0.839704,0.040969,0.6753,0.358004,0.0928,0.063346,0.19785,0.083085,0.0172,0.016225
Bihar,Rice,2020,Kharif,25.6440845,85.906508,2020-07-01,2020-10-28,10,0.6,0.05,datasets\test_images\rgb\bihar_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\bihar_2020_rice_sentinel2_ndvi.png,1.023094,0.396083,-0.065019,0.137487,0.647588,0.320704,-0.311436,0.128721,0.855502,0.524512,-0.239645,0.156455,0.393939,-0.455229,-0.749549,0.146937,0.4991,0.276524,0.0226,0.068357,0.2554,0.133348,0.0391,0.024186
Chhattisgarh,Rice,2020,Kharif,21.6637359,81.8406351,2020-07-01,2020-10-28,16,0.6,0.05,datasets\test_images\rgb\chhattisgarh_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\chhattisgarh_2020_rice_sentinel2_ndvi.png,1.068354,0.475106,-0.160971,0.136615,0.716418,0.397338,-0.311396,0.126645,0.879036,0.592255,-0.296826,0.145641,0.383993,-0.513545,-0.796471,0.118154,0.6004,0.311164,0.03435,0.056217,0.3344,0.131394,0.0334,0.032177
Delhi,Rice,2020,Kharif,28.6328027,77.2197713,2020-07-01,2020-10-28,20,0.6,0.05,datasets\test_images\rgb\delhi_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\delhi_2020_rice_sentinel2_ndvi.png,1.739394,0.273143,-0.102969,0.162826,0.659011,0.256965,-0.278263,0.171851,0.832911,0.383708,-0.26419,0.227205,0.475271,-0.360561,-0.752539,0.185827,0.64015,0.240687,0.02305,0.059156,0.6388,0.139357,0.0463,0.035599
Goa,Rice,2020,Kharif,15.3004543,74.0855134,2020-07-01,2020-10-28,16,0.6,0.05,datasets\test_images\rgb\goa_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\goa_2020_rice_sentinel2_ndvi.png,1.06294,0.517185,-0.093089,0.14098,0.665329,0.465916,-0.296667,0.118802,0.869863,0.666766,-0.301544,0.151135,0.497856,-0.566471,-0.753528,0.138252,0.5878,0.304439,0.0303,0.067678,0.29295,0.107825,0.0343,0.021569
Gujarat,Rice,2020,Kharif,22.3850051,71.745261,2020-07-01,2020-10-28,29,0.6,0.05,datasets\test_images\rgb\gujarat_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\gujarat_2020_rice_sentinel2_ndvi.png,1.185565,0.392897,-0.114703,0.163667,0.671818,0.345443,-0.439437,0.138778,0.892529,0.551608,-0.387099,0.191449,0.548277,-0.510906,-0.799279,0.144486,0.5661,0.283788,0.0185,0.067579,0.4976,0.13365,0.0231,0.023076
Haryana,Rice,2020,Kharif,29.0,76.0,2020-07-01,2020-10-28,81,0.6,0.05,datasets\test_images\rgb\haryana_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\haryana_2020_rice_sentinel2_ndvi.png,0.860011,0.332332,-0.024412,0.138654,0.651134,0.294113,-0.250354,0.13153,0.847817,0.46432,-0.097377,0.188191,0.321386,-0.479594,-0.762636,0.130643,0.4733,0.305849,0.03315,0.03605,0.4359,0.163121,0.0462,0.034048
Himachal Pradesh,Rice,2020,Kharif,31.9292352,77.1828462,2020-07-01,2020-10-28,38,0.6,0.05,datasets\test_images\rgb\himachal_pradesh_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\himachal_pradesh_2020_rice_sentinel2_ndvi.png,1.111951,0.437778,-0.197002,0.131571,0.81793,0.433572,-0.362477,0.123243,0.937328,0.670988,-0.398356,0.16714,0.450484,-0.607099,-0.887831,0.130142,1.0656,0.290849,0.02775,0.079512,0.3989,0.115354,0.00625,0.04026
Jammu and Kashmir,Rice,2020,Kharif,33.6649297,75.1629584,2020-07-01,2020-10-28,19,0.6,0.05,datasets\test_images\rgb\jammu_and_kashmir_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\jammu_and_kashmir_2020_rice_sentinel2_ndvi.png,1.369666,0.358931,-0.083397,0.121011,0.742072,0.377851,-0.357063,0.147526,0.901531,0.583087,-0.246618,0.192674,0.334317,-0.553664,-0.853537,0.152274,0.4652,0.268144,0.0377,0.049713,0.3222,0.119013,0.03925,0.034482
Jharkhand,Rice,2020,Kharif,23.4559809,85.2557301,2020-07-01,2020-10-28,26,0.6,0.05,datasets\test_images\rgb\jharkhand_2020_rice_sentinel2_gee_rgb.png,datasets\test_images\ndvi\jharkhand_2020_rice_sentinel2_ndvi.png,1.389382,0.472449,-0.279926,0.115806,0.647201,0.367397,-0.459708,0.086564,0.865607,0.583503,-0.507743,0.115572,0.546478,-0.510829,-0.761164,0.083902,0.517,0.333741,0.0319,0.045973,0.3868,0.150477,0.0405,0.024414
