State,Latitude,Longitude
Andhra Pradesh,15.9240905,80.1863809
Arunachal Pradesh,28.0937702,94.5921326
Assam,26.4073841,93.2551303
Bihar,25.6440845,85.906508
Chhattisgarh,21.6637359,81.8406351
Delhi,28.6328027,77.2197713
Goa,15.3004543,74.0855134
Gujarat,22.3850051,71.745261
Haryana,29.0,76.0
Himachal Pradesh,31.9292352,77.1828462
Jammu and Kashmir,33.6649297,75.1629584
Jharkhand,23.4559809,85.2557301
Karnataka,14.9562045,75.7896741
Kerala,10.3528744,76.5120396
Madhya Pradesh,23.8143419,77.5340719
Maharashtra,19.5670323,76.4164557
Manipur,24.7208818,93.9229386
Meghalaya,25.5379432,91.2999102
Mizoram,23.2146169,92.8687612
Nagaland,26.1630556,94.5884911
Odisha,20.5431241,84.6897321
Puducherry,10.9156489,79.8069488
Punjab,30.9293211,75.5004841
Sikkim,27.6016108,88.4550204
Tamil Nadu,11.3323723,78.6098639
Telangana,17.8495919,79.1151663
Tripura,23.7750823,91.7025091
Uttar Pradesh,27.1303344,80.859666
Uttarakhand,30.0417376,79.089691
West Bengal,22.9964948,87.6855882
