State,Latitude,Longitude,phh2o,nitrogen,soc,clay,sand,silt
Andhra Pradesh,15.9240905,80.1863809,,,,,,
Arunachal Pradesh,28.0937702,94.5921326,,,,,,
Assam,26.4073841,93.2551303,5.2,6.21,47.1,31.5,31.1,37.3
Bihar,25.6440845,85.906508,,,,,,
Chhattisgarh,21.6637359,81.8406351,,,,,,
Delhi,28.6328027,77.2197713,,,,,,
Goa,15.3004543,74.0855134,,,,,,
Gujarat,22.3850051,71.745261,,,,,,
Haryana,29.0,76.0,,,,,,
Himachal Pradesh,31.9292352,77.1828462,,,,,,
Jammu and Kashmir,33.6649297,75.1629584,6.2,4.04,42.9,25.7,25.9,48.4
Jharkhand,23.4559809,85.2557301,,,,,,
Karnataka,14.9562045,75.7896741,,,,,,
Kerala,10.3528744,76.5120396,5.3,3.63,37.6,32.0,39.3,28.7
Madhya Pradesh,23.8143419,77.5340719,7.5,1.04,8.4,35.6,32.0,32.4
Maharashtra,19.5670323,76.4164557,7.4,1.2,10.0,41.8,25.9,32.3
Manipur,24.7208818,93.9229386,,,,,,
Meghalaya,25.5379432,91.2999102,,,,,,
Mizoram,23.2146169,92.8687612,,,,,,
Nagaland,26.1630556,94.5884911,,,,,,
Odisha,20.5431241,84.6897321,,,,,,
Puducherry,10.9156489,79.8069488,,,,,,
Punjab,30.9293211,75.5004841,7.9,1.12,12.5,23.5,42.7,33.8
Sikkim,27.6016108,88.4550204,,,,,,
Tamil Nadu,11.3323723,78.6098639,6.1,3.81,47.6,33.2,39.2,27.6
Telangana,17.8495919,79.1151663,,,,,,
Tripura,23.7750823,91.7025091,5.3,1.68,19.6,26.7,33.8,39.4
Uttar Pradesh,27.1303344,80.859666,7.1,1.55,18.4,25.2,37.4,37.5
Uttarakhand,30.0417376,79.089691,5.8,5.32,90.0,24.8,38.4,36.7
West Bengal,22.9964948,87.6855882,6.6,1.42,20.6,30.6,27.1,42.4
